Disease_Name,Crop,Severity,Leaf_Color,Spot_Size,Spot_Pattern,Temperature,Humidity,Affected_Area_Percent,Disease_ID,Season
Healthy,Wheat,None,Green,None,None,20.0,60.0,0.0,3,Monsoon
Brown_Rust,Wheat,Medium,Light_Brown,Small,Pustules,18.656456362086022,71.34277486225295,26.67984846550837,4,Winter
Leaf_Mold,Tomato,High,Olive_Green,Medium,Fuzzy,25.454692509599326,90.59949779012989,49.59098263707798,9,Monsoon
Northern_Leaf_Blight,Corn,Severe,Gray,Large,Elongated,26.0,92.0,70.0,16,Monsoon
Mosaic_Virus,Tomato,Medium,Yellow_Green,None,Mosaic,26.32457741806884,74.5506105528206,36.36664721935712,13,Monsoon
Early_Blight,Tomato,Medium,Brown,Medium,Concentric,26.72576294120438,78.47249837518625,34.63714908485888,6,Monsoon
Leaf_Mold,Tomato,Medium,Yellow,Medium,Fuzzy,25.208160547932557,93.31301691749503,33.627274730411074,9,Monsoon
Leaf_Blast,Rice,High,Gray,Large,Diamond,24.57137321868653,95.45199856731729,47.5274953866716,1,Monsoon
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Healthy,Wheat,None,Green,None,None,21.0,65.0,0.0,3,Monsoon
Cedar_Apple_Rust,Apple,Medium,Orange_Yellow,Small,Circular,23.124815476014582,75.17504740072124,27.10997207595242,19,Monsoon
Healthy,Corn,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Early_Blight,Tomato,Medium,Dark_Brown,Medium,Concentric,24.51569388516837,80.51283504824566,33.75514862018058,6,Monsoon
Late_Blight,Potato,High,Dark_Gray,Large,Irregular,17.25801431709879,89.52309746488996,66.15605811349502,7,Winter
Esca_Black_Measles,Grape,Severe,Brown_Black,Large,Irregular,32.06171280456294,76.24902831273535,65.27324071721469,20,Summer
Esca_Black_Measles,Grape,Severe,Brown_Black,Large,Irregular,30.16867550683373,81.85914371732736,67.04003068415747,20,Summer
Target_Spot,Tomato,Medium,Brown,Medium,Target,27.452723159851047,77.88801736727983,25.29342267016229,11,Monsoon
Neck_Blast,Rice,Severe,Black,Large,Irregular,24.0,90.0,60.0,2,Monsoon
Healthy,Wheat,None,Green,None,None,20.0,60.0,0.0,3,Monsoon
Early_Blight,Tomato,High,Brown,Large,Concentric,28.544751466632963,81.41615572679038,45.33600251266368,6,Summer
Healthy,Tomato,None,Green,None,None,25.0,70.0,0.0,3,Monsoon
Brown_Rust,Wheat,High,Brown_Orange,Small,Pustules,19.61420582422106,66.3255536673881,37.107908848160875,4,Winter
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,25.92466664501815,87.53401704100814,50.58120784481138,16,Monsoon
Bacterial_Spot,Tomato,High,Dark_Brown,Small,Circular,30.204090802969066,92.66886954833983,44.33671768048314,8,Summer
Target_Spot,Tomato,Medium,Brown,Medium,Target,25.610484093067505,80.96365482634796,25.670607628034485,11,Monsoon
