Year,Month,Crop_ID,Crop_Name,State_ID,State_Name,Rainfall,Temperature,Demand,Price_Per_Quintal,Season,Price_Category,Month_Name,Previous_Month_Price,Price_Change,Price_Change_Percent
2023,11,6,Pulses,11,West Bengal,20.95,23.72,Medium,3583.96,Spring,High,November,4023.95,-439.9899999999998,-10.93
2023,5,8,Fruits,4,Tamil Nadu,24.93,38.51,Medium,4531.71,Summer,Very_High,May,4156.8,374.90999999999985,9.02
2023,8,8,Fruits,1,Andhra Pradesh,161.46,22.7,Medium,4462.33,Monsoon,Very_High,August,3909.5,552.8299999999999,14.14
2021,4,4,Cotton,11,West Bengal,27.87,28.05,Medium,5965.45,Summer,Very_High,April,5319.81,645.6399999999994,12.14
2020,8,8,Fruits,9,Uttar Pradesh,196.58,24.37,Medium,3876.54,Monsoon,High,August,3505.33,371.21000000000004,10.59
2022,2,5,Sugarcane,4,Tamil Nadu,48.63,21.81,Low,2842.53,Winter,Medium,February,3254.19,-411.65999999999985,-12.65
2024,7,1,Rice,2,Karnataka,299.95,23.83,Medium,2406.22,Monsoon,Medium,July,2190.91,215.30999999999995,9.83
2024,11,8,Fruits,9,Uttar Pradesh,117.4,24.75,Low,3356.19,Spring,High,November,4263.39,-907.2000000000003,-21.28
2023,12,4,Cotton,6,Gujarat,90.88,20.17,High,4078.35,Winter,Very_High,December,4666.6,-588.2500000000005,-12.61
2023,8,6,Pulses,5,Maharashtra,251.49,30.72,Medium,4047.14,Monsoon,Very_High,August,4343.75,-296.6100000000001,-6.83
2024,7,5,Sugarcane,11,West Bengal,293.2,23.95,Medium,3364.64,Monsoon,High,July,3021.02,343.6199999999999,11.37
2023,8,5,Sugarcane,2,Karnataka,214.39,23.37,Medium,3344.84,Monsoon,High,August,4110.14,-765.3000000000002,-18.62
2022,3,7,Vegetables,9,Uttar Pradesh,10.51,29.11,Medium,2539.68,Summer,Medium,March,2727.1,-187.42000000000007,-6.87
2022,12,5,Sugarcane,13,Haryana,78.43,17.06,Medium,3255.93,Winter,High,December,3495.97,-240.03999999999996,-6.87
2021,6,3,Maize,6,Gujarat,239.4,28.01,High,1821.45,Monsoon,Low,June,1742.87,78.58000000000015,4.51
2020,9,2,Wheat,3,Kerala,301.77,27.58,Medium,3423.41,Monsoon,High,September,3546.03,-122.62000000000035,-3.46
2022,11,1,Rice,1,Andhra Pradesh,92.96,23.13,Medium,2336.19,Spring,Medium,November,2441.03,-104.84000000000015,-4.29
2021,11,3,Maize,5,Maharashtra,56.95,30.85,Medium,1510.68,Spring,Low,November,1659.23,-148.54999999999995,-8.95
2022,3,8,Fruits,13,Haryana,20.05,29.9,Medium,4271.86,Summer,Very_High,March,4619.42,-347.5600000000004,-7.52
2023,10,4,Cotton,3,Kerala,47.45,26.15,Medium,4484.47,Spring,Very_High,October,4721.51,-237.03999999999996,-5.02
2024,6,1,Rice,12,Punjab,395.38,30.62,Low,2264.94,Monsoon,Medium,June,2646.92,-381.98,-14.43
2021,3,1,Rice,1,Andhra Pradesh,54.97,38.45,Low,3110.79,Summer,High,March,3661.14,-550.3499999999999,-15.03
2021,6,7,Vegetables,1,Andhra Pradesh,235.56,29.65,Medium,2454.63,Monsoon,Medium,June,2279.34,175.28999999999996,7.69
2023,11,1,Rice,13,Haryana,56.13,20.27,Medium,2695.51,Spring,Medium,November,2627.31,68.20000000000027,2.6
2021,8,1,Rice,1,Andhra Pradesh,154.22,21.82,Medium,2342.73,Monsoon,Medium,August,2379.95,-37.2199999999998,-1.56
2022,8,1,Rice,2,Karnataka,173.96,29.56,Low,2024.55,Monsoon,Medium,August,2401.0,-376.45000000000005,-15.68
2022,1,8,Fruits,12,Punjab,96.5,14.72,Medium,4518.04,Winter,Very_High,January,4394.09,123.94999999999982,2.82
2023,8,6,Pulses,7,Rajasthan,278.75,27.65,Low,3141.94,Monsoon,High,August,3263.7,-121.75999999999976,-3.73
2024,5,4,Cotton,10,Bihar,51.19,31.8,Medium,5006.64,Summer,Very_High,May,5082.21,-75.56999999999971,-1.49
2023,2,3,Maize,3,Kerala,142.87,16.97,Medium,2021.34,Winter,Medium,February,2725.3,-703.9600000000003,-25.83
2022,6,2,Wheat,11,West Bengal,347.45,28.35,Low,2499.4,Monsoon,Medium,June,2938.77,-439.3699999999999,-14.95
2020,4,5,Sugarcane,9,Uttar Pradesh,10.83,39.31,Medium,3469.45,Summer,High,April,3250.8,218.64999999999964,6.73
2023,2,2,Wheat,10,Bihar,45.27,10.73,Low,3078.54,Winter,High,February,2592.75,485.78999999999996,18.74
